Company Name;Definition Academic;Uni-directional;Bi-directional;1:1 representation;Sufficient representation;Real-Time;Near-Real-Time;Periodic;H2M;M2M;Only physical;Also non physical;Any distinct entity;Types / Instance distinguished;Counterpart and digital twin are created with a time difference;Performance;Availability;Quality;BoL;MoL;EoL;Automation;Detection;Prevention;Optimization;Prediction;Simulation;Sensors;Internal System;External System
Heidenhain;Only physical,Performance,Availability,Quality,Simulation,1:1 representation;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0
T Systems;Internal System,External System,Optimization,Simulation,Also non physical,Counterpart and digital twin are created with a time difference​,1:1 representation;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1
AIA Aerospace Industries Association;Only physical;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gartner;Any distinct entity;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tata2;Simulation,Any distinct entity;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
SAS;Performance,Availability,Optimization,Prediction,Detection,1:1 representation,Real-Time,Sensors,Simulation,MoL,Only physical,Prevention,BoL;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;1;0;0
Hexagon (PPM);Optimization,Performance,Quality,Only physical,Near-Real-Time,BoL,MoL;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0
Boeing;1:1 representation,Only physical,Performance,Quality,BoL;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Linde;Prediction,Internal System,Periodic,Performance,Optimization,Availability;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0
SMS Group;Counterpart and digital twin are created with a time difference​,Any distinct entity,Internal System,Sensors,BoL,Simulation,Performance,Optimization,MoL,Quality,Availability,Prediction,Real-Time,EoL;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0
Industrie2025;Also non physical,Bi-directional,Real-Time,BoL,MoL;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Nomoko;Only physical;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALSO;Also non physical,H2M,Real-Time,Performance;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
